prompt_variant,evaluation_scope,target_family,n_complete_cases,weights_json,equal_weight_l1_distance,weight_openai_gpt_5_6_terra_low,weight_anthropic_claude_haiku_4_5,weight_google_gemini_3_1_flash_lite_low,threshold,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,distance_from_0_5,optimization_method,weight_step
codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,67,"{""anthropic_claude_haiku_4_5"": 0.45, ""google_gemini_3_1_flash_lite_low"": 0.45, ""openai_gpt_5_6_terra_low"": 0.1}",0.4666666666666667,0.1,0.45,0.45,0.16,0.7014925373134329,0.9,0.6923076923076923,0.7826086956521738,0.4074074074074074,0.7175925925925927,,11,16,4,36,0.33999999999999997,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,67,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.6, ""openai_gpt_5_6_terra_low"": 0.25}",0.5333333333333332,0.25,0.15,0.6,0.12,0.7313432835820896,0.975,0.6964285714285714,0.8125,0.37037037037037035,0.7898148148148149,,10,17,1,39,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.85, ""openai_gpt_5_6_terra_low"": 0.0}",1.0333333333333332,0.0,0.15,0.85,0.19,0.7205882352941176,0.8536585365853658,0.7291666666666666,0.7865168539325843,0.5185185185185185,0.6978319783197833,,14,13,6,35,0.31,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,66,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.5, ""openai_gpt_5_6_terra_low"": 0.35}",0.3666666666666667,0.35,0.15,0.5,0.1,0.7424242424242424,0.9743589743589743,0.7037037037037037,0.8172043010752689,0.4074074074074074,0.7374169040835707,,11,16,1,38,0.4,in_sample_weight_and_threshold_grid,0.05
direct_target_only,new_gold_test_only__drop_kyle_only,new_gold,68,"{""anthropic_claude_haiku_4_5"": 0.75, ""google_gemini_3_1_flash_lite_low"": 0.0, ""openai_gpt_5_6_terra_low"": 0.25}",0.8333333333333333,0.25,0.75,0.0,0.12,0.6764705882352942,1.0,0.6507936507936508,0.7884615384615385,0.18518518518518517,0.7041553748870822,,5,22,0,41,0.38,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_no_checklist,old_gold_test_only,old_gold,75,"{""anthropic_claude_haiku_4_5"": 0.45, ""google_gemini_3_1_flash_lite_low"": 0.05, ""openai_gpt_5_6_terra_low"": 0.5}",0.5666666666666667,0.5,0.45,0.05,0.09,0.7466666666666667,0.9056603773584906,0.7741935483870968,0.8347826086956522,0.36363636363636365,0.6633790737564323,,8,14,5,48,0.41000000000000003,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,old_gold_test_only,old_gold,75,"{""anthropic_claude_haiku_4_5"": 0.05, ""google_gemini_3_1_flash_lite_low"": 0.45, ""openai_gpt_5_6_terra_low"": 0.5}",0.5666666666666667,0.5,0.05,0.45,0.07,0.7333333333333333,0.9433962264150944,0.746268656716418,0.8333333333333333,0.22727272727272727,0.6903945111492281,,5,17,3,50,0.43,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,old_gold_test_only,old_gold,76,"{""anthropic_claude_haiku_4_5"": 0.65, ""google_gemini_3_1_flash_lite_low"": 0.35, ""openai_gpt_5_6_terra_low"": 0.0}",0.6666666666666667,0.0,0.65,0.35,0.05,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.63510101010101,,0,22,0,54,0.45,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,old_gold_test_only,old_gold,74,"{""anthropic_claude_haiku_4_5"": 0.35, ""google_gemini_3_1_flash_lite_low"": 0.65, ""openai_gpt_5_6_terra_low"": 0.0}",0.6666666666666667,0.0,0.35,0.65,0.05,0.7027027027027027,1.0,0.7027027027027027,0.8253968253968255,0.0,0.6175699300699301,,0,22,0,52,0.45,in_sample_weight_and_threshold_grid,0.05
direct_target_only,old_gold_test_only,old_gold,76,"{""anthropic_claude_haiku_4_5"": 0.3, ""google_gemini_3_1_flash_lite_low"": 0.15, ""openai_gpt_5_6_terra_low"": 0.55}",0.43333333333333335,0.55,0.3,0.15,0.06,0.7236842105263158,1.0,0.72,0.8372093023255813,0.045454545454545456,0.6439393939393939,,1,21,0,54,0.44,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,67,"{""anthropic_claude_haiku_4_5"": 0.45, ""google_gemini_3_1_flash_lite_low"": 0.05, ""openai_gpt_5_6_terra_low"": 0.5}",0.5666666666666667,0.5,0.45,0.05,0.09,0.7761194029850746,0.9583333333333334,0.7796610169491526,0.8598130841121496,0.3157894736842105,0.6721491228070176,,6,13,2,46,0.41000000000000003,in_sample_weight_and_threshold_grid,0.05
codebook_no_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,67,"{""anthropic_claude_haiku_4_5"": 0.05, ""google_gemini_3_1_flash_lite_low"": 0.45, ""openai_gpt_5_6_terra_low"": 0.5}",0.5666666666666667,0.5,0.05,0.45,0.07,0.7761194029850746,1.0,0.7619047619047619,0.8648648648648648,0.21052631578947367,0.7149122807017544,,4,15,0,48,0.43,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,"{""anthropic_claude_haiku_4_5"": 0.55, ""google_gemini_3_1_flash_lite_low"": 0.05, ""openai_gpt_5_6_terra_low"": 0.4}",0.5666666666666668,0.4,0.55,0.05,0.1,0.75,0.9591836734693877,0.7580645161290323,0.8468468468468467,0.21052631578947367,0.6648764769065522,,4,15,2,47,0.4,in_sample_weight_and_threshold_grid,0.05
codebook_with_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,66,"{""anthropic_claude_haiku_4_5"": 0.15, ""google_gemini_3_1_flash_lite_low"": 0.6, ""openai_gpt_5_6_terra_low"": 0.25}",0.5333333333333332,0.25,0.15,0.6,0.1,0.7575757575757576,0.9361702127659575,0.7719298245614035,0.8461538461538461,0.3157894736842105,0.6567749160134377,,6,13,3,44,0.4,in_sample_weight_and_threshold_grid,0.05
direct_target_only,old_gold_test_only__drop_kyle_only,old_gold,68,"{""anthropic_claude_haiku_4_5"": 0.65, ""google_gemini_3_1_flash_lite_low"": 0.0, ""openai_gpt_5_6_terra_low"": 0.35}",0.6666666666666667,0.35,0.65,0.0,0.11,0.7794117647058824,0.9387755102040817,0.7931034482758621,0.8598130841121495,0.3684210526315789,0.6654135338345865,,7,12,3,46,0.39,in_sample_weight_and_threshold_grid,0.05
