analysis_level,provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,expected_n,prediction_coverage,document,target_labeler,label_source_type
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7538461538461538,,11,2,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7538461538461538,,11,2,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,new_gold_test_only,new_gold,76,46,30,28,0.631578947368421,0.5,0.8214285714285714,0.6216216216216216,0.8333333333333334,0.676449275362319,,25,5,23,23,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,26,0.6323529411764706,0.5121951219512195,0.8076923076923077,0.6268656716417911,0.8148148148148148,0.6982836495031618,,22,5,20,21,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,old_gold_test_only,old_gold,76,54,22,28,0.5789473684210527,0.46296296296296297,0.8928571428571429,0.6097560975609756,0.8636363636363636,0.6506734006734006,,19,3,29,25,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,26,0.5735294117647058,0.46938775510204084,0.8846153846153846,0.6133333333333333,0.8421052631578947,0.6605800214822771,,16,3,26,23,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,49,0.5819672131147541,0.4888888888888889,0.8979591836734694,0.6330935251798561,0.84375,0.6765625,,27,5,46,44,0.5,122,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,47,0.5789473684210527,0.49411764705882355,0.8936170212765957,0.6363636363636364,0.8275862068965517,0.6811359026369169,,24,5,43,42,0.5,114,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,29,0.618421052631579,0.5,0.7931034482758621,0.6133333333333333,0.8,0.6663043478260869,,24,6,23,23,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,27,0.6176470588235294,0.5121951219512195,0.7777777777777778,0.6176470588235294,0.7777777777777778,0.6824751580849142,,21,6,20,21,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_anmol,individual_coder,53,39,14,24,0.5660377358490566,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.7142857142857143,0.6071428571428571,,10,4,19,20,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,24,0.5660377358490566,0.5128205128205128,0.8333333333333334,0.6349206349206349,0.7142857142857143,0.6071428571428571,,10,4,19,20,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_kyle,individual_coder,51,46,5,21,0.47058823529411764,0.43478260869565216,0.9523809523809523,0.5970149253731343,0.8,0.5891304347826087,,4,1,26,20,0.5,51,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,19,0.4418604651162791,0.43902439024390244,0.9473684210526315,0.6,0.5,0.3719512195121951,,1,1,23,18,0.5,43,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,new_gold_test_only,new_gold,76,46,30,29,0.618421052631579,0.5,0.7931034482758621,0.6133333333333333,0.8,0.6663043478260869,,24,6,23,23,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,27,0.6176470588235294,0.5121951219512195,0.7777777777777778,0.6176470588235294,0.7777777777777778,0.6824751580849142,,21,6,20,21,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,old_gold_test_only,old_gold,76,54,22,29,0.5657894736842105,0.46296296296296297,0.8620689655172413,0.6024096385542169,0.8181818181818182,0.6207912457912459,,18,4,29,25,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,27,0.5588235294117647,0.46938775510204084,0.8518518518518519,0.6052631578947368,0.7894736842105263,0.6224489795918368,,15,4,26,23,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,50,0.5573770491803278,0.4777777777777778,0.86,0.6142857142857143,0.78125,0.6362847222222223,,25,7,47,43,0.5,122,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,48,0.5526315789473685,0.4823529411764706,0.8541666666666666,0.6165413533834586,0.7586206896551724,0.6338742393509127,,22,7,44,41,0.5,114,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,31,0.6447368421052632,0.5434782608695652,0.8064516129032258,0.6493506493506493,0.8,0.66231884057971,,24,6,21,25,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,28,0.6617647058823529,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.8148148148148148,0.6969286359530262,,22,5,18,23,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_anmol,individual_coder,53,39,14,26,0.6037735849056604,0.5641025641025641,0.8461538461538461,0.676923076923077,0.7142857142857143,0.6611721611721613,,10,4,17,22,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,26,0.6037735849056604,0.5641025641025641,0.8461538461538461,0.676923076923077,0.7142857142857143,0.6611721611721613,,10,4,17,22,0.5,53,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_kyle,individual_coder,51,46,5,21,0.43137254901960786,0.41304347826086957,0.9047619047619048,0.5671641791044776,0.6,0.5347826086956522,,3,2,27,19,0.5,51,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,18,0.4186046511627907,0.4146341463414634,0.9444444444444444,0.576271186440678,0.5,0.5365853658536586,,1,1,24,17,0.5,43,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7923076923076924,,12,1,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,4,0.8333333333333334,0.6,0.75,0.6666666666666666,0.9230769230769231,0.7923076923076924,,12,1,2,3,0.5,18,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,new_gold_test_only,new_gold,76,46,30,31,0.6447368421052632,0.5434782608695652,0.8064516129032258,0.6493506493506493,0.8,0.66231884057971,,24,6,21,25,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,28,0.6617647058823529,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.8148148148148148,0.6969286359530262,,22,5,18,23,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,old_gold_test_only,old_gold,76,54,22,31,0.5394736842105263,0.46296296296296297,0.8064516129032258,0.5882352941176471,0.7272727272727273,0.6026936026936027,,16,6,29,25,0.5,76,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,28,0.5441176470588235,0.46938775510204084,0.8214285714285714,0.5974025974025974,0.7368421052631579,0.6245972073039743,,14,5,26,23,0.5,68,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,pooled_coder_labels,pooled_coder_decisions,122,90,32,51,0.5655737704918032,0.4888888888888889,0.8627450980392157,0.624113475177305,0.78125,0.6454861111111112,,25,7,46,44,0.5,122,1.0,,,
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,48,0.5701754385964912,0.49411764705882355,0.875,0.631578947368421,0.7931034482758621,0.6634888438133876,,23,6,43,42,0.5,114,1.0,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,75,45,30,18,0.56,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.9,0.6844444444444444,,27,3,30,15,0.5,76,0.9868421052631579,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,67,40,27,18,0.582089552238806,0.375,0.8333333333333334,0.5172413793103449,0.8888888888888888,0.700925925925926,,24,3,25,15,0.5,68,0.9852941176470589,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,52,38,14,17,0.4807692307692308,0.3684210526315789,0.8235294117647058,0.509090909090909,0.7857142857142857,0.5676691729323309,,11,3,24,14,0.5,53,0.9811320754716981,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,52,38,14,17,0.4807692307692308,0.3684210526315789,0.8235294117647058,0.509090909090909,0.7857142857142857,0.5676691729323309,,11,3,24,14,0.5,53,0.9811320754716981,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,50,45,5,14,0.38,0.3111111111111111,1.0,0.4745762711864407,1.0,0.7466666666666667,,5,0,31,14,0.5,51,0.9803921568627451,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,42,40,2,14,0.38095238095238093,0.35,1.0,0.5185185185185185,1.0,0.5375,,2,0,26,14,0.5,43,0.9767441860465116,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.5,18,1.0,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.5,18,1.0,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,75,45,30,18,0.56,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.9,0.6844444444444444,,27,3,30,15,0.5,76,0.9868421052631579,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,67,40,27,18,0.582089552238806,0.375,0.8333333333333334,0.5172413793103449,0.8888888888888888,0.700925925925926,,24,3,25,15,0.5,68,0.9852941176470589,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,75,53,22,18,0.4533333333333333,0.2830188679245283,0.8333333333333334,0.4225352112676056,0.8636363636363636,0.6247855917667238,,19,3,38,15,0.5,76,0.9868421052631579,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,67,48,19,18,0.4626865671641791,0.3125,0.8333333333333334,0.45454545454545453,0.8421052631578947,0.6156798245614036,,16,3,33,15,0.5,68,0.9852941176470589,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,120,88,32,34,0.5,0.3522727272727273,0.9117647058823529,0.5081967213114754,0.90625,0.6860795454545455,,29,3,57,31,0.5,122,0.9836065573770492,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,112,83,29,34,0.5089285714285714,0.37349397590361444,0.9117647058823529,0.5299145299145299,0.896551724137931,0.6815538014125466,,26,3,52,31,0.5,114,0.9824561403508771,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,75,45,30,13,0.5466666666666666,0.26666666666666666,0.9230769230769231,0.41379310344827586,0.9666666666666667,0.7214814814814816,,29,1,33,12,0.5,76,0.9868421052631579,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,67,40,27,13,0.5671641791044776,0.3,0.9230769230769231,0.4528301886792453,0.9629629629629629,0.7726851851851851,,26,1,28,12,0.5,68,0.9852941176470589,,,
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_with_checklist,labeler_anmol,individual_coder,52,38,14,12,0.46153846153846156,0.2894736842105263,0.9166666666666666,0.44,0.9285714285714286,0.6954887218045113,,13,1,27,11,0.5,53,0.9811320754716981,,,
