provider,model,model_effort,prompt_variant,n_scored,accuracy,precision_yes,recall_yes,f1_yes,tp,tn,fp,fn,mean_confidence,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,cost_per_scored_row,cost_per_correct_binary_label,avg_latency_seconds
gemini,gemini-2.5-flash,thinking_budget=512,definitions_only,5,0.8,1.0,0.8,0.888888888888889,4,0,0,1,0.9099999999999999,11658,340,1934,13932,0.0043473999999999995,0.00086948,0.0010868499999999999,3.166549873352051
openai,gpt-5.4-mini,reasoning_effort=low,definitions_only,11,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,8,0,0,3,0.8945454545454545,27167,1631,960,28798,0.00747215,0.0006792863636363636,0.00093401875,1.5790263306010852
openai,gpt-5.4-mini,reasoning_effort=low,definitions_examples_no_metadata,11,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,8,0,0,3,0.9154545454545453,40598,1401,720,41999,0.00987085,0.00089735,0.00123385625,1.3821314464915881
openai,gpt-5.4-mini,reasoning_effort=low,definitions_examples_with_metadata,11,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,8,0,0,3,0.9236363636363637,42886,1320,679,44206,0.0102272,0.0009297454545454546,0.0012784,1.4623910080302844
openai,gpt-5.4,reasoning_effort=low,definitions_examples_with_metadata,11,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,8,0,0,3,0.8745454545454546,42886,1639,992,44525,0.01062595,0.0009659954545454545,0.00132824375,2.4083406925201416
openai,gpt-5.4-nano,reasoning_effort=medium,definitions_examples_no_metadata,11,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948,8,0,0,3,0.7472727272727273,40598,2624,1823,43222,0.011399600000000003,0.001036327272727273,0.0014249500000000003,2.2438624772158535
openai,gpt-5.4-mini,reasoning_effort=low,direct_no_context,11,0.6363636363636364,1.0,0.6363636363636364,0.7777777777777778,7,0,0,4,0.8963636363636364,5497,1509,875,7006,0.00298565,0.00027142272727272723,0.0004265214285714285,1.8340842073613948
openai,gpt-5.4,reasoning_effort=low,definitions_only,11,0.6363636363636364,1.0,0.6363636363636364,0.7777777777777778,7,0,0,4,0.8663636363636361,27167,1640,938,28807,0.0074834,0.0006803090909090909,0.001069057142857143,2.45840107310902
openai,gpt-5.4-nano,reasoning_effort=medium,definitions_examples_with_metadata,11,0.6363636363636364,1.0,0.6363636363636364,0.7777777777777778,7,0,0,4,0.7527272727272727,42886,2765,2010,45651,0.012033450000000001,0.00109395,0.001719064285714286,2.4800736904144287
openai,gpt-5.4-nano,reasoning_effort=medium,definitions_only,11,0.5454545454545454,1.0,0.5454545454545454,0.7058823529411764,6,0,0,5,0.7781818181818181,27167,2410,1612,29577,0.0084459,0.0007678090909090908,0.0014076499999999999,2.1386111216111616
openai,gpt-5.4-nano,reasoning_effort=medium,direct_no_context,11,0.45454545454545453,1.0,0.45454545454545453,0.625,5,0,0,6,0.7236363636363637,5497,1971,1268,7468,0.00356315,0.00032392272727272726,0.00071263,1.9350259737534956
anthropic,claude-sonnet-5,effort=low,direct_no_context,11,0.36363636363636365,1.0,0.36363636363636365,0.5333333333333333,4,0,0,7,0.7454545454545456,12284,893,0,13177,0.033498,0.003045272727272727,0.0083745,2.2021072561090644
anthropic,claude-haiku-4-5-20251001,effort=omitted,direct_no_context,11,0.2727272727272727,1.0,0.2727272727272727,0.42857142857142855,3,0,0,8,0.9227272727272724,9119,818,0,9937,0.013209,0.0012008181818181818,0.004403,1.7886313525113193
