analysis_level,provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,expected_n,prediction_coverage,document,target_labeler,label_source_type,threshold_mode
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,new_gold_test_only,new_gold,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6702898550724639,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,65,0.6176470588235294,0.975609756097561,0.6153846153846154,0.7547169811320755,0.07407407407407407,0.6897018970189701,,2,25,1,40,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,old_gold_test_only,old_gold,76,54,22,76,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.6574074074074073,,0,22,0,54,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,65,0.7352941176470589,0.9795918367346939,0.7384615384615385,0.8421052631578947,0.10526315789473684,0.6686358754027927,,2,17,1,48,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,122,0.7377049180327869,1.0,0.7377049180327869,0.8490566037735849,0.0,0.6421875,,0,32,0,90,0.05,122,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_no_examples_with_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,114,0.7456140350877193,1.0,0.7456140350877193,0.8542713567839196,0.0,0.6448275862068966,,0,29,0,85,0.05,114,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.676449275362319,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,67,0.6176470588235294,1.0,0.6119402985074627,0.7592592592592593,0.037037037037037035,0.6982836495031618,,1,26,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_anmol,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6492673992673993,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6492673992673993,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_kyle,individual_coder,51,46,5,51,0.9019607843137255,1.0,0.9019607843137255,0.9484536082474226,0.0,0.6869565217391305,,0,5,0,46,0.05,51,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,43,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904762,0.0,0.6280487804878049,,0,2,0,41,0.08,43,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,7,0.7777777777777778,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.7538461538461538,,10,3,1,4,0.35,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,7,0.7777777777777778,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.7538461538461538,,10,3,1,4,0.35,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,new_gold_test_only,new_gold,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.676449275362319,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,67,0.6176470588235294,1.0,0.6119402985074627,0.7592592592592593,0.037037037037037035,0.6982836495031618,,1,26,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,old_gold_test_only,old_gold,76,54,22,76,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.6506734006734006,,0,22,0,54,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,68,0.7205882352941176,1.0,0.7205882352941176,0.8376068376068376,0.0,0.6605800214822771,,0,19,0,49,0.08,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,122,0.7377049180327869,1.0,0.7377049180327869,0.8490566037735849,0.0,0.6765625,,0,32,0,90,0.05,122,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,114,0.7456140350877193,1.0,0.7456140350877193,0.8542713567839196,0.0,0.6811359026369169,,0,29,0,85,0.08,114,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6663043478260869,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,66,0.6323529411764706,1.0,0.6212121212121212,0.7663551401869159,0.07407407407407407,0.6824751580849142,,2,25,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_anmol,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6071428571428571,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6071428571428571,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_kyle,individual_coder,51,46,5,51,0.9019607843137255,1.0,0.9019607843137255,0.9484536082474226,0.0,0.5891304347826087,,0,5,0,46,0.05,51,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,43,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904762,0.0,0.3719512195121951,,0,2,0,41,0.05,43,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,5,0.7777777777777778,0.6,0.6,0.6,0.8461538461538461,0.7692307692307693,,11,2,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,new_gold_test_only,new_gold,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.6663043478260869,,0,30,0,46,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,66,0.6323529411764706,1.0,0.6212121212121212,0.7663551401869159,0.07407407407407407,0.6824751580849142,,2,25,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,old_gold_test_only,old_gold,76,54,22,76,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.6207912457912459,,0,22,0,54,0.05,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,68,0.7205882352941176,1.0,0.7205882352941176,0.8376068376068376,0.0,0.6224489795918368,,0,19,0,49,0.05,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,pooled_coder_labels,pooled_coder_decisions,122,90,32,122,0.7377049180327869,1.0,0.7377049180327869,0.8490566037735849,0.0,0.6362847222222223,,0,32,0,90,0.05,122,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,codebook_with_examples_with_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,111,0.7543859649122807,0.9882352941176471,0.7567567567567568,0.8571428571428571,0.06896551724137931,0.6338742393509127,,2,27,1,84,0.15,114,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.66231884057971,,0,30,0,46,0.12,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,68,41,27,68,0.6029411764705882,1.0,0.6029411764705882,0.7522935779816514,0.0,0.6969286359530262,,0,27,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_anmol,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6611721611721613,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_anmol__drop_kyle_only,individual_coder,53,39,14,53,0.7358490566037735,1.0,0.7358490566037735,0.8478260869565217,0.0,0.6611721611721613,,0,14,0,39,0.15,53,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_kyle,individual_coder,51,46,5,51,0.9019607843137255,1.0,0.9019607843137255,0.9484536082474226,0.0,0.5347826086956522,,0,5,0,46,0.12,51,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_kyle__drop_kyle_only,individual_coder,43,41,2,43,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904762,0.0,0.5365853658536586,,0,2,0,41,0.15,43,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana,individual_coder,18,5,13,6,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8461538461538461,0.7923076923076924,,11,2,1,4,0.35,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,6,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8461538461538461,0.7923076923076924,,11,2,1,4,0.35,18,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,new_gold_test_only,new_gold,76,46,30,76,0.6052631578947368,1.0,0.6052631578947368,0.7540983606557377,0.0,0.66231884057971,,0,30,0,46,0.12,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,new_gold_test_only__drop_kyle_only,new_gold,68,41,27,68,0.6029411764705882,1.0,0.6029411764705882,0.7522935779816514,0.0,0.6969286359530262,,0,27,0,41,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,old_gold_test_only,old_gold,76,54,22,76,0.7105263157894737,1.0,0.7105263157894737,0.8307692307692308,0.0,0.6026936026936027,,0,22,0,54,0.12,76,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,old_gold_test_only__drop_kyle_only,old_gold,68,49,19,68,0.7205882352941176,1.0,0.7205882352941176,0.8376068376068376,0.0,0.6245972073039743,,0,19,0,49,0.15,68,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,pooled_coder_labels,pooled_coder_decisions,122,90,32,122,0.7377049180327869,1.0,0.7377049180327869,0.8490566037735849,0.0,0.6454861111111112,,0,32,0,90,0.12,122,1.0,,,,model_scope_optimized_in_sample
model_overall,anthropic,anthropic_claude_haiku_4_5,claude-haiku-4-5-20251001,direct_target_only,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,114,85,29,114,0.7456140350877193,1.0,0.7456140350877193,0.8542713567839196,0.0,0.6634888438133876,,0,29,0,85,0.15,114,1.0,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,75,45,30,56,0.6666666666666666,0.8444444444444444,0.6785714285714286,0.7524752475247525,0.4,0.6844444444444444,,12,18,7,38,0.15,76,0.9868421052631579,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,67,40,27,54,0.6716417910447762,0.9,0.6666666666666666,0.7659574468085106,0.3333333333333333,0.700925925925926,,9,18,4,36,0.15,68,0.9852941176470589,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,52,38,14,52,0.7307692307692307,1.0,0.7307692307692307,0.8444444444444444,0.0,0.5676691729323309,,0,14,0,38,0.1,53,0.9811320754716981,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,52,38,14,52,0.7307692307692307,1.0,0.7307692307692307,0.8444444444444444,0.0,0.5676691729323309,,0,14,0,38,0.1,53,0.9811320754716981,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,50,45,5,50,0.9,1.0,0.9,0.9473684210526315,0.0,0.7466666666666667,,0,5,0,45,0.05,51,0.9803921568627451,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,42,40,2,42,0.9523809523809523,1.0,0.9523809523809523,0.975609756097561,0.0,0.5375,,0,2,0,40,0.1,43,0.9767441860465116,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.7999999999999999,,13,0,2,3,0.5,18,1.0,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,75,45,30,56,0.6666666666666666,0.8444444444444444,0.6785714285714286,0.7524752475247525,0.4,0.6844444444444444,,12,18,7,38,0.15,76,0.9868421052631579,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,67,40,27,54,0.6716417910447762,0.9,0.6666666666666666,0.7659574468085106,0.3333333333333333,0.700925925925926,,9,18,4,36,0.15,68,0.9852941176470589,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,75,53,22,75,0.7066666666666667,1.0,0.7066666666666667,0.828125,0.0,0.6247855917667238,,0,22,0,53,0.05,76,0.9868421052631579,,,,model_scope_optimized_in_sample
model_overall,google,google_gemini_3_1_flash_lite_low,gemini-3.1-flash-lite,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,67,48,19,67,0.7164179104477612,1.0,0.7164179104477612,0.8347826086956521,0.0,0.6156798245614036,,0,19,0,48,0.05,68,0.9852941176470589,,,,model_scope_optimized_in_sample
